trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
267,False,"{'a': 0.5, 'e': 0.2622784202137371}",30,14,2.8773571118906123,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.26096702811266836}",25,14,16.972340010647997,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.259662192972105}",25,17,8.62675267787109,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.2583638820072445}",30,20,19.416135613793006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.2570720625972083}",30,13,26.749282331370978,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.25578670228422223}",20,3,-10.302656300538793,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.2545077687728011}",25,5,-15.097133975206082,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.25323522992893716}",20,0,-14.923181031888557,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
275,False,"{'a': 0.5, 'e': 0.25196905377929246}",20,0,14.128928344592694,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.25070920851039596}",25,7,-39.10530700062306,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.249455662467844}",25,5,-112.61580237390406,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",1
278,False,"{'a': 0.5, 'e': 0.24820838415550478}",30,4,35.73869829050528,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.24696734223472724}",25,14,22.563003328154583,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.2457325055235536}",20,10,4.624767226119398,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.24450384299593586}",30,12,19.291609690102554,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.24328132378095618}",20,9,15.71131399665103,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.2420649171620514}",30,14,-59.162781128364074,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.24085459257624112}",20,8,22.01040980512414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.23965031961335992}",30,10,3.1873137160956713,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.23845206801529312}",25,4,-60.0667107927213,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 2}",1
287,False,"{'a': 0.5, 'e': 0.23725980767521665}",25,0,-27.773965241064783,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
288,False,"{'a': 0.5, 'e': 0.23607350863684057}",20,8,-62.67118400868856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
289,False,"{'a': 0.5, 'e': 0.23489314109365636}",25,7,-46.633206960311036,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
290,False,"{'a': 0.5, 'e': 0.23371867538818808}",20,3,15.231024826650561,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.23255008201124713}",35,5,-0.16647049169685046,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.2313873316011909}",20,9,15.618533837303017,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.23023039494318495}",25,1,-18.402474373502255,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
294,False,"{'a': 0.5, 'e': 0.22907924296846902}",20,11,-7.765372195424277,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.22793384675362668}",25,9,-26.777811593728625,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
296,False,"{'a': 0.5, 'e': 0.22679417751985856}",25,0,33.49739679873757,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
297,False,"{'a': 0.5, 'e': 0.22566020663225925}",25,11,12.442990100470622,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.22453190559909794}",30,16,17.74231368802611,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
